id	name	shortname	label	method	project	donor	species	strain	age	ageunit	agetext	sex	numpooledanimals	plugdate	tissue	roi	neuronprop	targetnumcells	cellconc	datecaptured	sampleok	chemistry	transcriptome	comment	analysis	all_fc_analysis_id	editby	editat
351	10X89_1	BRC2006_Cortex	BRC 2006	rna-seq	Dev human	BRC2006	Hs		8.0	pcw	8w				Cortex		N/A	5000	1000	2017-11-10	Y	v2	GRCh38-3.0.0		Queueing	2098	emelie	2019-05-30 16:09:05
352	10X89_2	BRC2006_Cortex	BRC 2006	rna-seq	Dev human	BRC2006	Hs		8.0	pcw	8w				Cortex		N/A	5000	1000	2017-11-10	Y	v2	GRCh38-3.0.0		Queueing	2099	emelie	2019-05-30 16:16:53
353	10X89_3	BRC2006_Hypothalamus	BRC 2006	rna-seq	Dev human	BRC2006	Hs		8.0	pcw	8w				Hypothalamus		N/A	5000	1000	2017-11-10	Y	v2	GRCh38-3.0.0		Ready (10X89_3_GRCh38-3_0_0)	1456	emelie	2019-05-30 16:34:39
354	10X89_4	BRC2006_Hypothalamus	BRC 2006	rna-seq	Dev human	BRC2006	Hs		8.0	pcw	8w				Hypothalamus		N/A	5000	1000	2017-11-10	Y	v2	GRCh38-3.0.0		Ready (10X89_4_GRCh38-3_0_0)	1460	emelie	2019-05-30 16:33:12
355	10X89_5	BRC2006_Thalamus	BRC 2006	rna-seq	Dev human	BRC2006	Hs		8.0	pcw	8w				Thalamus		N/A	5000	1000	2017-11-10	Y	v2	GRCh38-3.0.0		Queueing	2100	emelie	2019-05-30 16:35:36
356	10X89_6	BRC2006_Thalamus	BRC 2006	rna-seq	Dev human	BRC2006	Hs		8.0	pcw	8w				Thalamus		N/A	5000	1000	2017-11-10	Y	v2	GRCh38-3.0.0		Queueing	2101	emelie	2019-05-30 16:35:59
357	10X89_7	BRC2006_Ventral_midbrain	BRC 2006	rna-seq	Dev human	BRC2006	Hs		8.0	pcw	8w				Ventral midbrain		N/A	5000	1000	2017-11-10	Y	v2	GRCh38-3.0.0		Queueing	2102	emelie	2019-05-30 16:36:20
358	10X89_8	BRC2006_Ventral_midbrain	BRC 2006	rna-seq	Dev human	BRC2006	Hs		8.0	pcw	8w				Ventral midbrain		N/A	5000	1000	2017-11-10	Y	v2	GRCh38-3.0.0		Queueing	2103	emelie	2019-05-30 16:36:32
364	10X92_1	XHU:4901:292_Forebrain_cortex		rna-seq	Dev human	XHU:4901:292	Hs		9.5	pcw	9.5w				Forebrain cortex		N/A	5000	1000	2017-12-14	Y	v2	GRCh38-3.0.0		Ready (10X92_1_GRCh38-3_0_0)	1470	emelie	2019-11-13 10:43:14
365	10X92_2	XHU:4901:292_Forebrain_cortex		rna-seq	Dev human	XHU:4901:292	Hs		9.5	pcw	9.5w				Forebrain cortex		N/A	5000	1000	2017-12-14	Y	v2	GRCh38-3.0.0		Queueing	2104	emelie	2019-11-13 10:43:26
366	10X92_3	XHU:4901:292_Subcortical_forebrain		rna-seq	Dev human	XHU:4901:292	Hs		9.5	pcw	9.5w				Subcortical forebrain		N/A	5000	1000	2017-12-14	Y	v2	GRCh38-3.0.0		Queueing	2105	emelie	2019-11-13 10:43:40
367	10X92_4	XHU:4901:292_Subcortical_forebrain		rna-seq	Dev human	XHU:4901:292	Hs		9.5	pcw	9.5w				Subcortical forebrain		N/A	5000	1000	2017-12-14	Y	v2	GRCh38-3.0.0	In 10x step 2.1_e, lost a little bit beads, when mix it.	Queueing	2106	emelie	2019-11-13 10:43:57
381	10X96_1	BRC2021_Amygdala		rna-seq	Dev human	BRC2021	Hs		8.0	pcw	8w				Amygdala		N/A	5000	310	2018-01-24	N	v2	GRCh38-3.0.0	10x controller error, pressure not at the set point. GEMs 70ul.	Ready (10X96_1_GRCh38-3_0_0)	1565	emelie	2019-11-13 10:21:55
382	10X96_2	BRC2021_Amygdala		rna-seq	Dev human	BRC2021	Hs		8.0	pcw	8w				Amygdala		N/A	5000	310	2018-01-24	N	v2	GRCh38-3.0.0	10x controller error, pressure not at the set point. GEMs 75ul.	Ready (10X96_2_GRCh38-3_0_0)	1428	emelie	2019-11-13 10:21:45
383	10X96_3	BRC2021_Cerebellum		rna-seq	Dev human	BRC2021	Hs		8.0	pcw	8w				Cerebellum		N/A	5000	1000	2018-01-24	N	v2	GRCh38-3.0.0	10x controller error, pressure not at the set point. GEMs 75ul.	Ready (10X96_3_GRCh38-3_0_0)	1397	emelie	2019-11-13 10:21:27
384	10X96_4	BRC2021_Cerebellum		rna-seq	Dev human	BRC2021	Hs		8.0	pcw	8w				Cerebellum		N/A	5000	1000	2018-01-24	N	v2	GRCh38-3.0.0	10x controller error, pressure not at the set point. GEMs 85ul.	Ready (10X96_4_GRCh38-3_0_0)	1400	emelie	2019-11-13 10:20:53
385	10X96_5	BRC2021_Cortex		rna-seq	Dev human	BRC2021	Hs		8.0	pcw	8w				Cortex		N/A	5000	1140	2018-01-24	N	v2	GRCh38-3.0.0	10x controller error, pressure not at the set point. GEMs 90ul.	Ready (10X96_5_GRCh38-3_0_0)	1510	emelie	2019-11-13 10:20:29
386	10X96_6	BRC2021_Cortex		rna-seq	Dev human	BRC2021	Hs		8.0	pcw	8w				Cortex		N/A	5000	1140	2018-01-24	N	v2	GRCh38-3.0.0	10x controller error, pressure not at the set point. GEMs 90ul.	Ready (10X96_6_GRCh38-3_0_0)	1500	emelie	2019-11-13 10:20:18
387	10X96_7	BRC2021_Dorsal_midbrain		rna-seq	Dev human	BRC2021	Hs		8.0	pcw	8w				Dorsal midbrain		N/A	5000	1170	2018-01-24	N	v2	GRCh38-3.0.0	10x controller error, pressure not at the set point. GEMs 90ul.	Ready (10X96_7_GRCh38-3_0_0)	1606	emelie	2019-11-13 10:19:46
388	10X96_8	BRC2021_Dorsal_midbrain		rna-seq	Dev human	BRC2021	Hs		8.0	pcw	8w				Dorsal midbrain		N/A	5000	1170	2018-01-24	N	v2	GRCh38-3.0.0	10x controller error, pressure not at the set point. GEMs 85ul.	Ready (10X96_8_GRCh38-3_0_0)	1455	emelie	2019-11-13 10:19:35
389	10X97_1	BRC2021_Hippocampus		rna-seq	Dev human	BRC2021	Hs		8.0	pcw	8w				Hippocampus		N/A	5000	860	2018-01-24	N	v2	GRCh38-3.0.0	2nd 10xchip and wait a little longer to load in chip.	Ready (10X97_1_GRCh38-3_0_0)	1478	emelie	2019-11-13 10:19:24
